Username,Email,Phone Number,Password,Address,Latitude,Longitude,Provider Type,Provider Name,State,City
Samiramis Sando,SamiramisSando@gmail.com,(360) 715-8400,Samiramis@123,"4291 Meridian St Ste 101Bellingham, WA 98226",48.797085,-122.48616,dental-care,Samiramis Sando,WA,acme
Dr Coe Family Dentistry,DrCoeFamilyDentistry@gmail.com,(360) 255-5000,Dr@123,"1225 E Sunset DrBellingham, WA 98226",48.772617,-122.45957,dental-care,Dr Coe Family Dentistry,WA,acme
Bellingham Nwoms,BellinghamNwoms@gmail.com,(360) 647-4262,Bellingham@123,"200 Westerly RdBellingham, WA 98226",48.79198,-122.489456,dental-care,Bellingham Nwoms,WA,acme
"Benjamin J Armstrong, DDS","BenjaminJArmstrong,DDS@gmail.com",(855) 433-6825,Benjamin@123,"4164 Meridian StBellingham, WA 98226",48.792656,-122.48576,dental-care,"Benjamin J Armstrong, DDS",WA,acme
"Richard Day Todd, DDS","RichardDayTodd,DDS@gmail.com",(360) 733-5400,Richard@123,"3628 Meridian St Ste 1CBellingham, WA 98225",48.77947,-122.485916,dental-care,"Richard Day Todd, DDS",WA,acme
"James S Lee, DDS","JamesSLee,DDS@gmail.com",(360) 715-8400,James@123,"4291 Meridian St Ste 101Bellingham, WA 98226",48.797085,-122.48616,dental-care,"James S Lee, DDS",WA,acme
Terra L Smith DDS,TerraLSmithDDS@gmail.com,(360) 676-0760,Terra@123,"1118 Finnegan WayBellingham, WA 98225",48.72147,-122.50279,dental-care,Terra L Smith DDS,WA,acme
Mitchell Edmund Westberg DDS P,MitchellEdmundWestbergDDSP@gmail.com,(541) 990-0588,Mitchell@123,"707 W Bakerview RdBellingham, WA 98226",48.78952,-122.50269,dental-care,Mitchell Edmund Westberg DDS P,WA,acme
"Laura Stewart, DDS","LauraStewart,DDS@gmail.com",(360) 389-3198,Laura@123,"3100 Squalicum Pkwy Ste 103Bellingham, WA 98225",48.77216,-122.47073,dental-care,"Laura Stewart, DDS",WA,acme
"Robert L Knudson, DDS","RobertLKnudson,DDS@gmail.com",(360) 671-4480,Robert@123,"1415 Commercial StBellingham, WA 98225",48.751663,-122.47867,dental-care,"Robert L Knudson, DDS",WA,acme
"Amelang-Severin, Amber D","Amelang-Severin,AmberD@gmail.com",(360) 734-4777,"Amelang-Severin,@123","1310 BroadwayBellingham, WA 98225",48.757713,-122.491165,dental-care,"Amelang-Severin, Amber D",WA,acme
"Jeffrey R. Prager, DDS","JeffreyR.Prager,DDS@gmail.com",(360) 671-4552,Jeffrey@123,"1420 King St Ste BBellingham, WA 98229",48.747047,-122.46357,dental-care,"Jeffrey R. Prager, DDS",WA,acme
Scott L DR DDS,ScottLDRDDS@gmail.com,(360) 671-5800,Scott@123,"3136 Squalicum PkwyBellingham, WA 98225",48.772015,-122.46889,dental-care,Scott L DR DDS,WA,acme
Laurel Brion,LaurelBrion@gmail.com,(360) 676-6177,Laurel@123,"220 Unity StBellingham, WA 98225",48.753105,-122.47645,dental-care,Laurel Brion,WA,acme
"Dr. Lance Vander Giessen, DDS","Dr.LanceVanderGiessen,DDS@gmail.com",(360) 671-6333,Dr.@123,"3628 Meridian St Ste 2ABellingham, WA 98225",48.77947,-122.485916,dental-care,"Dr. Lance Vander Giessen, DDS",WA,acme
Bellingham Bay Dental,BellinghamBayDental@gmail.com,(360) 676-0760,Bellingham@123,"1118 Finnegan WayBellingham, WA 98225",48.72147,-122.50279,dental-care,Bellingham Bay Dental,WA,acme
"Guzman, Jesse, DDS","Guzman,Jesse,DDS@gmail.com",(360) 676-6177,"Guzman,@123","1616 Cornwall AveBellingham, WA 98225",48.75346,-122.474884,dental-care,"Guzman, Jesse, DDS",WA,acme
Southside Dental Care,SouthsideDentalCare@gmail.com,(360) 752-9000,Southside@123,"1215 Old Fairhaven PkwyBellingham, WA 98225",48.717785,-122.501305,dental-care,Southside Dental Care,WA,acme
"Malhan, Nikhil, DMD","Malhan,Nikhil,DMD@gmail.com",(360) 966-8354,"Malhan,@123","2219 Rimland DrBellingham, WA 98226",48.773308,-122.443306,dental-care,"Malhan, Nikhil, DMD",WA,acme
Silver Beach Dental,SilverBeachDental@gmail.com,(360) 734-9928,Silver@123,"2814 Flint StBellingham, WA 98226",48.76714,-122.4132,dental-care,Silver Beach Dental,WA,acme
Manjit Dhaliwal,ManjitDhaliwal@gmail.com,(360) 647-5757,Manjit@123,"3223 Eagleridge WayBellingham, WA 98226",48.759567,-122.39555,dental-care,Manjit Dhaliwal,WA,acme
"Brawley, Brittany","Brawley,Brittany@gmail.com",(360) 738-8464,"Brawley,@123","3628 Meridian StBellingham, WA 98225",48.77929,-122.4859,dental-care,"Brawley, Brittany",WA,acme
Sonja A Thorpe DDS,SonjaAThorpeDDS@gmail.com,(360) 676-7130,Sonja@123,"1310 J StBellingham, WA 98225",48.757256,-122.49032,dental-care,Sonja A Thorpe DDS,WA,acme
Gentle Dental Sehome Village,GentleDentalSehomeVillage@gmail.com,(360) 329-6226,Gentle@123,"224 36th StBellingham, WA 98225",48.731274,-122.47082,dental-care,Gentle Dental Sehome Village,WA,acme
Christen Kartaltepe,ChristenKartaltepe@gmail.com,(360) 715-8400,Christen@123,"4291 Meridian St Ste 101Bellingham, WA 98226",48.797085,-122.48616,dental-care,Christen Kartaltepe,WA,acme
Sweet Tooth Family & Cosmetic Dentistry,SweetToothFamily&CosmeticDentistry@gmail.com,(360) 752-1600,Sweet@123,"3600 Meridian St Ste 120Bellingham, WA 98225",48.77903,-122.48589,dental-care,Sweet Tooth Family & Cosmetic Dentistry,WA,acme
"Paul J Zosel, DDS","PaulJZosel,DDS@gmail.com",(360) 734-6967,Paul@123,"1105 N Forest StBellingham, WA 98225",48.745934,-122.47904,dental-care,"Paul J Zosel, DDS",WA,acme
"Gill, Paramjit, DMD","Gill,Paramjit,DMD@gmail.com",(360) 676-6177,"Gill,@123","1616 Cornwall AveBellingham, WA 98225",48.75346,-122.474884,dental-care,"Gill, Paramjit, DMD",WA,acme
Progessive Dental Lab,ProgessiveDentalLab@gmail.com,(360) 734-1636,Progessive@123,"3929 Spur Ridge Ln Ste 4Bellingham, WA 98226",48.784946,-122.44529,dental-care,Progessive Dental Lab,WA,acme
Verio Dental Co,VerioDentalCo@gmail.com,(360) 738-7888,Verio@123,"PO Box 30156Bellingham, WA 98228",48.7537,-122.4709,dental-care,Verio Dental Co,WA,acme
"Spriggs, Charles B, DDS","Spriggs,CharlesB,DDS@gmail.com",(360) 715-8400,"Spriggs,@123","4291 Meridian St Ste 101Bellingham, WA 98226",48.797085,-122.48616,dental-care,"Spriggs, Charles B, DDS",WA,acme
Charles V Hall DDS,CharlesVHallDDS@gmail.com,(360) 676-2770,Charles@123,"3400 Squalicum PkwyBellingham, WA 98225",48.772003,-122.46806,dental-care,Charles V Hall DDS,WA,acme
"Alan Robert Ely Faber III, DDS","AlanRobertElyFaberIII,DDS@gmail.com",(360) 474-4390,Alan@123,"224 36th StBellingham, WA 98225",48.731274,-122.47082,dental-care,"Alan Robert Ely Faber III, DDS",WA,acme
Northside Dental Care,NorthsideDentalCare@gmail.com,(360) 676-1138,Northside@123,"3031 Orleans StBellingham, WA 98226",48.76983,-122.45787,dental-care,Northside Dental Care,WA,acme
Fusion Dental,FusionDental@gmail.com,(360) 647-4573,Fusion@123,"2134 James StBellingham, WA 98225",48.758244,-122.464714,dental-care,Fusion Dental,WA,acme
"Sierra R Estella, DDS","SierraREstella,DDS@gmail.com",(855) 433-6826,Sierra@123,"4164 Meridian StBellingham, WA 98226",48.792656,-122.48576,dental-care,"Sierra R Estella, DDS",WA,acme
"Christopher J Burton, DDS","ChristopherJBurton,DDS@gmail.com",(360) 738-4988,Christopher@123,"3108 Newmarket StBellingham, WA 98226",48.77237,-122.44334,dental-care,"Christopher J Burton, DDS",WA,acme
"John Lee Nickell, DDS","JohnLeeNickell,DDS@gmail.com",(360) 676-6177,John@123,"220 Unity StBellingham, WA 98225",48.753105,-122.47645,dental-care,"John Lee Nickell, DDS",WA,acme
"Terra, Lee S, DDS","Terra,LeeS,DDS@gmail.com",(360) 676-0760,"Terra,@123","3628 Meridian StBellingham, WA 98225",48.77929,-122.4859,dental-care,"Terra, Lee S, DDS",WA,acme
"Charles Walter, DDS","CharlesWalter,DDS@gmail.com",(360) 676-8920,Charles@123,"3400 Squalicum Pkwy Ste 102Bellingham, WA 98225",48.772003,-122.46806,dental-care,"Charles Walter, DDS",WA,acme
"James Lucas Anderson, DD","JamesLucasAnderson,DD@gmail.com",(360) 318-6811,James@123,"613 Samish Springs DrBellingham, WA 98229",48.7221,-122.3499,dental-care,"James Lucas Anderson, DD",WA,acme
"Marco Mass Pascua, DDS","MarcoMassPascua,DDS@gmail.com",(360) 676-6177,Marco@123,"220 Unity StBellingham, WA 98225",48.753105,-122.47645,dental-care,"Marco Mass Pascua, DDS",WA,acme
Associate Implant & Family Dentistry,AssociateImplant&FamilyDentistry@gmail.com,(360) 671-7228,Associate@123,"2901 Meridian StBellingham, WA 98225",48.768284,-122.48628,dental-care,Associate Implant & Family Dentistry,WA,acme
"Cody Carson, LD","CodyCarson,LD@gmail.com",(360) 676-1499,Cody@123,"2710 Meridian StBellingham, WA 98225",48.76587,-122.48587,dental-care,"Cody Carson, LD",WA,acme
An Benjamin DDS,AnBenjaminDDS@gmail.com,(360) 734-2429,An@123,"4869 Hannegan RdBellingham, WA 98226",48.816513,-122.44334,dental-care,An Benjamin DDS,WA,acme
"Lori Lynn Radder, DDS","LoriLynnRadder,DDS@gmail.com",(360) 733-5400,Lori@123,"3628 Meridian St Ste 1CBellingham, WA 98225",48.77947,-122.485916,dental-care,"Lori Lynn Radder, DDS",WA,acme
Paul Lovdahl,PaulLovdahl@gmail.com,(360) 676-6177,Paul@123,"220 Unity StBellingham, WA 98225",48.753105,-122.47645,dental-care,Paul Lovdahl,WA,acme
"Singh, Gurpreet, DDS","Singh,Gurpreet,DDS@gmail.com",(510) 899-0351,"Singh,@123","224 36th StBellingham, WA 98225",48.731274,-122.47082,dental-care,"Singh, Gurpreet, DDS",WA,acme
"Peter Cao, DDS","PeterCao,DDS@gmail.com",(360) 389-3198,Peter@123,"3100 Squalicum Pkwy Ste 103Bellingham, WA 98225",48.77216,-122.47073,dental-care,"Peter Cao, DDS",WA,acme
"Al-Karadaghi, Tamara S, DDS","Al-Karadaghi,TamaraS,DDS@gmail.com",(360) 389-4784,"Al-Karadaghi,@123","3800 Byron AveBellingham, WA 98229",48.733494,-122.4663,dental-care,"Al-Karadaghi, Tamara S, DDS",WA,acme
"Werremeyer, Aimee T, DMD","Werremeyer,AimeeT,DMD@gmail.com",(360) 752-1600,"Werremeyer,@123","4101 Eliza AveBellingham, WA 98226",48.789845,-122.49723,dental-care,"Werremeyer, Aimee T, DMD",WA,acme
"Robert Von Hanks, DDS","RobertVonHanks,DDS@gmail.com",(360) 671-3836,Robert@123,"1800 C St Ste 225Bellingham, WA 98225",48.756306,-122.481285,dental-care,"Robert Von Hanks, DDS",WA,acme
Diamond Dental,DiamondDental@gmail.com,(360) 734-1999,Diamond@123,"102 Samish Way Ste 103Bellingham, WA 98225",48.73528,-122.47009,dental-care,Diamond Dental,WA,acme
Suzanna Tanus,SuzannaTanus@gmail.com,(800) 359-6019,Suzanna@123,"4164 Meridian StBellingham, WA 98226",48.792656,-122.48576,dental-care,Suzanna Tanus,WA,acme
"Joshua T Clarkman, DDS","JoshuaTClarkman,DDS@gmail.com",(360) 366-8099,Joshua@123,"3120 Howe Pl Ste 200Bellingham, WA 98226",48.77184,-122.447624,dental-care,"Joshua T Clarkman, DDS",WA,acme
"Thatiana Espirito, DDS","ThatianaEspirito,DDS@gmail.com",(360) 733-4940,Thatiana@123,"1800 C St Ste 227Bellingham, WA 98225",48.756306,-122.481285,dental-care,"Thatiana Espirito, DDS",WA,acme
"Dr. Ramanjot Sahni, MD","Dr.RamanjotSahni,MD@gmail.com",(360) 715-8400,Dr.@123,"4291 Meridian St Ste 101Bellingham, WA 98226",48.797085,-122.48616,dental-care,"Dr. Ramanjot Sahni, MD",WA,acme
Sandra Pinzon,SandraPinzon@gmail.com,(360) 676-6177,Sandra@123,"220 Unity StBellingham, WA 98225",48.753105,-122.47645,dental-care,Sandra Pinzon,WA,acme
"Ayer, Carrie L, DMD","Ayer,CarrieL,DMD@gmail.com",(360) 671-1020,"Ayer,@123","4164 Meridian StBellingham, WA 98226",48.792656,-122.48576,dental-care,"Ayer, Carrie L, DMD",WA,acme
Graig Erickson,GraigErickson@gmail.com,(360) 734-1999,Graig@123,"102 S Samish Way Ste 103Bellingham, WA 98225",48.73515,-122.4704,dental-care,Graig Erickson,WA,acme
"Scott Lancaster Clough, DDS","ScottLancasterClough,DDS@gmail.com",(360) 671-5800,Scott@123,"3136 Squalicum PkwyBellingham, WA 98225",48.772015,-122.46889,dental-care,"Scott Lancaster Clough, DDS",WA,acme
"Dr. David D Cummins, DDS","Dr.DavidDCummins,DDS@gmail.com",(360) 676-1900,Dr.@123,"2550 James StBellingham, WA 98225",48.763885,-122.46472,dental-care,"Dr. David D Cummins, DDS",WA,acme
Harold Oswald DDS,HaroldOswaldDDS@gmail.com,(360) 733-9200,Harold@123,"3628 Meridian St Ste 2ABellingham, WA 98225",48.77929,-122.4859,dental-care,Harold Oswald DDS,WA,acme
Don DMD Pratten MS,DonDMDPrattenMS@gmail.com,(360) 647-2556,Don@123,"3628 Meridian St Ste 2DBellingham, WA 98225",48.77929,-122.4859,dental-care,Don DMD Pratten MS,WA,acme
Keith Salvatori,KeithSalvatori@gmail.com,(360) 715-8400,Keith@123,"4291 Meridian St Ste 101Bellingham, WA 98226",48.797085,-122.48616,dental-care,Keith Salvatori,WA,acme
Lee Family Dental,LeeFamilyDental@gmail.com,(360) 734-3011,Lee@123,"3031 Orleans StBellingham, WA 98226",48.76983,-122.45787,dental-care,Lee Family Dental,WA,acme
Jon Engelby DMD,JonEngelbyDMD@gmail.com,(360) 738-9791,Jon@123,"1310 Broadway Ste 1ABellingham, WA 98225",48.757713,-122.491165,dental-care,Jon Engelby DMD,WA,acme
Sunrise Dental of Bellingham,SunriseDentalofBellingham@gmail.com,(360) 342-6704,Sunrise@123,"2710 Meridian StBellingham, WA 98225",48.76587,-122.48587,dental-care,Sunrise Dental of Bellingham,WA,acme
Bellingham Dental Group,BellinghamDentalGroup@gmail.com,(360) 762-6175,Bellingham@123,"1100 Ellis StBellingham, WA 98225",48.74106,-122.47168,dental-care,Bellingham Dental Group,WA,acme
"Eric T Moldver, DDS","EricTMoldver,DDS@gmail.com",(360) 676-6177,Eric@123,"220 Unity StBellingham, WA 98225",48.753105,-122.47645,dental-care,"Eric T Moldver, DDS",WA,acme
Willamette Dental Group - Bellingham,WillametteDentalGroup-Bellingham@gmail.com,(855) 433-6825,Willamette@123,"4164 Meridian StBellingham, WA 98226",48.792656,-122.48576,dental-care,Willamette Dental Group - Bellingham,WA,acme
"Kelsey Lynn Ullsmith, DMD","KelseyLynnUllsmith,DMD@gmail.com",(360) 647-1715,Kelsey@123,"1101 N Forest St Ste 6Bellingham, WA 98225",48.7459,-122.479095,dental-care,"Kelsey Lynn Ullsmith, DMD",WA,acme
"Mike Jorgenson, DDS","MikeJorgenson,DDS@gmail.com",(360) 733-5400,Mike@123,"3628 Meridian St Ste 1CBellingham, WA 98225",48.77947,-122.485916,dental-care,"Mike Jorgenson, DDS",WA,acme
"Leynes, Marijoyce R, DDS","Leynes,MarijoyceR,DDS@gmail.com",(360) 734-2822,"Leynes,@123","610 Dupont StBellingham, WA 98225",48.755615,-122.48174,dental-care,"Leynes, Marijoyce R, DDS",WA,acme
Cordata Dental Professionals,CordataDentalProfessionals@gmail.com,(360) 734-6300,Cordata@123,"4145 Meridian StBellingham, WA 98226",48.791035,-122.48634,dental-care,Cordata Dental Professionals,WA,acme
"George Ronald Myers, DDS","GeorgeRonaldMyers,DDS@gmail.com",(360) 676-1499,George@123,"2710 Meridian StBellingham, WA 98225",48.76587,-122.48587,dental-care,"George Ronald Myers, DDS",WA,acme
"M. Eric McRory, DDS","M.EricMcRory,DDS@gmail.com",(360) 676-1138,M.@123,"3031 Orleans StBellingham, WA 98226",48.76983,-122.45787,dental-care,"M. Eric McRory, DDS",WA,acme
"Manjot Kaur Tathgur, DDS","ManjotKaurTathgur,DDS@gmail.com",(360) 715-8400,Manjot@123,"4291 Meridian St Ste 101Bellingham, WA 98226",48.797085,-122.48616,dental-care,"Manjot Kaur Tathgur, DDS",WA,acme
Richard Eastham DDS,RichardEasthamDDS@gmail.com,(360) 676-6060,Richard@123,"3400 Squalicum Pkwy Ste 101Bellingham, WA 98225",48.772003,-122.46806,dental-care,Richard Eastham DDS,WA,acme
"Joshua T Clarkman, DDS","JoshuaTClarkman,DDS@gmail.com",(360) 734-7055,Joshua@123,"2201 James StBellingham, WA 98225",48.7592,-122.46512,dental-care,"Joshua T Clarkman, DDS",WA,acme
